,paths,year,month,day,hour,minute,coarse_pix
0,../data/masks/FRF_c1_snap_20150320160000_predseg.png,2015,03,21,16,00,120
1,../data/masks/FRF_c1_snap_20150904160000_predseg.png,2015,09,05,16,00,810
2,../data/masks/FRF_c1_snap_20210325160000_predseg.png,2021,03,26,16,00,1860
3,../data/masks/FRF_c1_snap_20181108160000_predseg.png,2018,11,09,16,00,119
4,../data/masks/FRF_c1_snap_20150602160000_predseg.png,2015,06,03,16,00,978
5,../data/masks/FRF_c1_snap_20170420160000_predseg.png,2017,04,21,16,00,984
6,../data/masks/FRF_c1_snap_20151106160000_predseg.png,2015,11,07,16,00,444
7,../data/masks/FRF_c1_snap_20200816160000_predseg.png,2020,08,17,16,00,1604
8,../data/masks/FRF_c1_snap_20201123160000_predseg.png,2020,11,24,16,00,67
9,../data/masks/FRF_c1_snap_20170815160000_predseg.png,2017,08,16,16,00,1288
10,../data/masks/FRF_c1_snap_20181021160000_predseg.png,2018,10,22,16,00,457
11,../data/masks/FRF_c1_snap_20170922160000_predseg.png,2017,09,23,16,00,262
12,../data/masks/FRF_c1_snap_20210506160000_predseg.png,2021,05,07,16,00,5061
13,../data/masks/FRF_c1_snap_20170902160000_predseg.png,2017,09,03,16,00,126
14,../data/masks/FRF_c1_snap_20150730160000_predseg.png,2015,07,31,16,00,433
15,../data/masks/FRF_c1_snap_20180613160000_predseg.png,2018,06,14,16,00,446
16,../data/masks/FRF_c1_snap_20201201160000_predseg.png,2020,12,02,16,00,226
17,../data/masks/FRF_c1_snap_20190919160000_predseg.png,2019,09,20,16,00,160
18,../data/masks/FRF_c1_snap_20210309160000_predseg.png,2021,03,10,16,00,2311
19,../data/masks/FRF_c1_snap_20150307160000_predseg.png,2015,03,08,16,00,228
20,../data/masks/FRF_c1_snap_20201218160000_predseg.png,2020,12,19,16,00,30879
21,../data/masks/FRF_c1_snap_20200827160000_predseg.png,2020,08,28,16,00,1254
22,../data/masks/FRF_c1_snap_20171213160000_predseg.png,2017,12,14,16,00,146
23,../data/masks/FRF_c1_snap_20190226160000_predseg.png,2019,02,27,16,00,2361
24,../data/masks/FRF_c1_snap_20150725160000_predseg.png,2015,07,26,16,00,528
25,../data/masks/FRF_c1_snap_20201111160000_predseg.png,2020,11,12,16,00,23387
26,../data/masks/FRF_c1_snap_20170407160000_predseg.png,2017,04,08,16,00,302
27,../data/masks/FRF_c1_snap_20160722160000_predseg.png,2016,07,23,16,00,179
28,../data/masks/FRF_c1_snap_20190414160000_predseg.png,2019,04,15,16,00,241
29,../data/masks/FRF_c1_snap_20191213160000_predseg.png,2019,12,14,16,00,22922
30,../data/masks/FRF_c1_snap_20150513160000_predseg.png,2015,05,14,16,00,1329
31,../data/masks/FRF_c1_snap_20210716160000_predseg.png,2021,07,17,16,00,809
32,../data/masks/FRF_c1_snap_20170330160000_predseg.png,2017,03,31,16,00,1010
33,../data/masks/FRF_c1_snap_20210520160000_predseg.png,2021,05,21,16,00,2671
34,../data/masks/FRF_c1_snap_20180214160000_predseg.png,2018,02,15,16,00,181
35,../data/masks/FRF_c1_snap_20170921160000_predseg.png,2017,09,22,16,00,274
36,../data/masks/FRF_c1_snap_20170802160000_predseg.png,2017,08,03,16,00,484
37,../data/masks/FRF_c1_snap_20170923160000_predseg.png,2017,09,24,16,00,1018
38,../data/masks/FRF_c1_snap_20170418160000_predseg.png,2017,04,19,16,00,3010
39,../data/masks/FRF_c1_snap_20180405160000_predseg.png,2018,04,06,16,00,499
40,../data/masks/FRF_c1_snap_20191216160000_predseg.png,2019,12,17,16,00,712
41,../data/masks/FRF_c1_snap_20180408160000_predseg.png,2018,04,09,16,00,238
42,../data/masks/FRF_c1_snap_20150802160000_predseg.png,2015,08,03,16,00,493
43,../data/masks/FRF_c1_snap_20190915160000_predseg.png,2019,09,16,16,00,4098
44,../data/masks/FRF_c1_snap_20160807160000_predseg.png,2016,08,08,16,00,418
45,../data/masks/FRF_c1_snap_20160517160000_predseg.png,2016,05,18,16,00,709
46,../data/masks/FRF_c1_snap_20150814160000_predseg.png,2015,08,15,16,00,652
47,../data/masks/FRF_c1_snap_20190214160000_predseg.png,2019,02,15,16,00,1642
48,../data/masks/FRF_c1_snap_20180708160000_predseg.png,2018,07,09,16,00,20964
49,../data/masks/FRF_c1_snap_20180521160000_predseg.png,2018,05,22,16,00,5022
50,../data/masks/FRF_c1_snap_20200416160000_predseg.png,2020,04,17,16,00,2353
51,../data/masks/FRF_c1_snap_20161129160000_predseg.png,2016,11,30,16,00,753
52,../data/masks/FRF_c1_snap_20150911160000_predseg.png,2015,09,12,16,00,602
53,../data/masks/FRF_c1_snap_20161001160000_predseg.png,2016,10,02,16,00,727
54,../data/masks/FRF_c1_snap_20161128160000_predseg.png,2016,11,29,16,00,1630
55,../data/masks/FRF_c1_snap_20170719160000_predseg.png,2017,07,20,16,00,3026
56,../data/masks/FRF_c1_snap_20200805160000_predseg.png,2020,08,06,16,00,579
57,../data/masks/FRF_c1_snap_20150417160000_predseg.png,2015,04,18,16,00,3277
58,../data/masks/FRF_c1_snap_20180911160000_predseg.png,2018,09,12,16,00,105
59,../data/masks/FRF_c1_snap_20160613160000_predseg.png,2016,06,14,16,00,755
60,../data/masks/FRF_c1_snap_20191102160000_predseg.png,2019,11,03,16,00,577
61,../data/masks/FRF_c1_snap_20150304160000_predseg.png,2015,03,05,16,00,23095
62,../data/masks/FRF_c1_snap_20200221160000_predseg.png,2020,02,22,16,00,189
63,../data/masks/FRF_c1_snap_20161104160000_predseg.png,2016,11,05,16,00,433
64,../data/masks/FRF_c1_snap_20171020160000_predseg.png,2017,10,21,16,00,507
65,../data/masks/FRF_c1_snap_20160428160000_predseg.png,2016,04,29,16,00,104
66,../data/masks/FRF_c1_snap_20200122160000_predseg.png,2020,01,23,16,00,24077
67,../data/masks/FRF_c1_snap_20191219160000_predseg.png,2019,12,20,16,00,25520
68,../data/masks/FRF_c1_snap_20170717160000_predseg.png,2017,07,18,16,00,523
69,../data/masks/FRF_c1_snap_20171212160000_predseg.png,2017,12,13,16,00,318
70,../data/masks/FRF_c1_snap_20160930160000_predseg.png,2016,10,01,16,00,131
71,../data/masks/FRF_c1_snap_20200131160000_predseg.png,2020,02,01,16,00,80
72,../data/masks/FRF_c1_snap_20160605160000_predseg.png,2016,06,06,16,00,273
73,../data/masks/FRF_c1_snap_20160720160000_predseg.png,2016,07,21,16,00,287
74,../data/masks/FRF_c1_snap_20190420160000_predseg.png,2019,04,21,16,00,1824
75,../data/masks/FRF_c1_snap_20200104160000_predseg.png,2020,01,05,16,00,248
